date,open,low,high,close,volume,changeClosePercent
2025-07-11 15:59:00,503.39,503.1,503.61,503.1,514165,-0.06356521393666714
2025-07-11 15:58:00,503.16,503.08,503.53,503.42,174649,0.053661929841997136
2025-07-11 15:57:00,503.23,503.1,503.36,503.15,92549,-0.021857489170606925
2025-07-11 15:56:00,503.65,503.24,503.67,503.26,80939,-0.08140250560884077
2025-07-11 15:55:00,503.73,503.58,503.93,503.67,87489,-0.011911142874154734
2025-07-11 15:54:00,503.86,503.5,504.15,503.73,90236,-0.01587900200472614
2025-07-11 15:53:00,503.61,503.54,503.95,503.81,45908,0.045672981452793415
2025-07-11 15:52:00,503.62,503.53,503.72,503.58,36303,-0.015883731088439657
2025-07-11 15:51:00,503.5,503.48,503.81,503.66,56685,0.035751171843956264
2025-07-11 15:50:00,503.73,503.44,503.79,503.48,43616,-0.05756595271650955
2025-07-11 15:49:00,503.91,503.58,503.91,503.77,29567,-0.021830594586014218
2025-07-11 15:48:00,503.77,503.74,503.93,503.88,26795,0.02183536137523312
2025-07-11 15:47:00,503.75,503.68,503.81,503.77,18968,0.003970223325056033
2025-07-11 15:46:00,503.85,503.64,503.85,503.75,30371,-0.027783841711481738
2025-07-11 15:45:00,503.77,503.69,504.01,503.89,32212,0.019849540483130035
2025-07-11 15:44:00,503.82,503.71,503.82,503.79,37041,-0.003969750501175984
2025-07-11 15:43:00,503.66,503.6,503.84,503.81,19238,0.02581003811943372
2025-07-11 15:42:00,503.67,503.61,503.72,503.68,23032,-0.001985348130795206
2025-07-11 15:41:00,503.61,503.56,503.71,503.69,33546,0.01985742369785548
2025-07-11 15:40:00,503.6,503.58,503.71,503.59,419038,0.0019857818022828155
2025-07-11 15:39:00,503.52,503.46,503.58,503.58,13327,0.00992989494170704
2025-07-11 15:38:00,503.53,503.51,503.63,503.53,19347,0.003972115747452598
2025-07-11 15:37:00,503.51,503.44,503.51,503.51,15546,0.0
2025-07-11 15:36:00,503.39,503.37,503.53,503.51,16246,0.02185141040922378
2025-07-11 15:35:00,503.43,503.37,503.53,503.4,24234,-0.011917530687644007
2025-07-11 15:34:00,503.37,503.37,503.48,503.46,17294,0.01390571922366135
2025-07-11 15:33:00,503.35,503.32,503.46,503.39,29436,0.007946756729904081
2025-07-11 15:32:00,503.15,503.15,503.36,503.35,29065,0.0417378860754436
2025-07-11 15:31:00,503.36,503.1,503.36,503.14,21726,-0.039734573052008226
2025-07-11 15:30:00,503.36,503.2,503.36,503.34,30299,-0.007946283126070153
2025-07-11 15:29:00,503.48,503.37,503.56,503.38,23438,-0.01986176213554236
2025-07-11 15:28:00,503.51,503.47,503.54,503.48,17825,-0.003972194637535953
2025-07-11 15:27:00,503.75,503.45,503.75,503.5,22851,-0.04962779156327812
2025-07-11 15:26:00,503.77,503.71,503.85,503.75,21658,-0.003970065704583803
2025-07-11 15:25:00,503.71,503.71,503.78,503.77,17230,0.017868487928840437
2025-07-11 15:24:00,503.66,503.66,503.73,503.68,25463,0.009927923277008865
2025-07-11 15:23:00,503.65,503.58,503.7,503.63,18649,-0.0059563991581690345
2025-07-11 15:22:00,503.59,503.59,503.77,503.66,14051,0.015886254418373547
2025-07-11 15:21:00,503.69,503.54,503.73,503.58,17704,-0.023823704586067862
2025-07-11 15:20:00,503.73,503.69,503.8,503.7,24409,0.0019853481307841037
2025-07-11 15:19:00,503.79,503.62,503.8,503.69,30354,-0.013895505796412966
2025-07-11 15:18:00,503.44,503.44,503.78,503.76,24996,0.06356268870173487
2025-07-11 15:17:00,503.36,503.35,503.44,503.44,7203,0.011919424689099678
2025-07-11 15:16:00,503.47,503.38,503.48,503.38,10624,-0.02184750441915906
2025-07-11 15:15:00,503.29,503.25,503.5,503.49,16258,0.039738520534871036
2025-07-11 15:14:00,503.22,503.22,503.33,503.29,7432,0.01788553259141068
2025-07-11 15:13:00,503.12,503.1,503.26,503.2,13831,0.0059621996541858735
2025-07-11 15:12:00,503.22,503.13,503.23,503.17,12063,-0.009936012082190082
2025-07-11 15:11:00,503.21,503.08,503.31,503.22,26539,-0.011921793037661388
2025-07-11 15:10:00,503.29,503.23,503.39,503.28,11932,-0.005960541217153725
2025-07-11 15:09:00,503.22,503.19,503.36,503.31,18418,0.011922503725791955
2025-07-11 15:08:00,502.95,502.95,503.25,503.25,18803,0.05964807634954994
2025-07-11 15:07:00,502.72,502.65,502.95,502.95,23245,0.035801658810186154
2025-07-11 15:06:00,502.89,502.56,502.89,502.77,34587,-0.031813572465355655
2025-07-11 15:05:00,503.07,502.88,503.09,502.93,24998,-0.0318034546502588
2025-07-11 15:04:00,503.14,502.93,503.14,503.09,26902,-0.005962792176827936
2025-07-11 15:03:00,503.11,503.09,503.17,503.12,16956,-0.001987557887617175
2025-07-11 15:02:00,503.2,503.13,503.2,503.13,15265,-0.01987162927489239
2025-07-11 15:01:00,503.08,503.04,503.23,503.23,18161,0.02782802281897645
2025-07-11 15:00:00,503.05,502.95,503.13,503.09,42556,0.0
2025-07-11 14:59:00,503.1,502.91,503.15,503.09,31523,-0.001987676406289829
2025-07-11 14:58:00,503.14,503.1,503.18,503.1,16895,-0.00795007353817656
2025-07-11 14:57:00,503.11,503.05,503.24,503.14,23156,0.003975194784544556
2025-07-11 14:56:00,503.03,502.98,503.18,503.12,24100,0.01590330788803218
2025-07-11 14:55:00,503.03,503.0,503.13,503.04,22574,-0.0039756689062864226
2025-07-11 14:54:00,503.17,503.04,503.17,503.06,24887,-0.023848324655195707
2025-07-11 14:53:00,503.27,503.1,503.27,503.18,10129,-0.02185618629418906
2025-07-11 14:52:00,503.3,503.21,503.43,503.29,15493,-0.0019868865487771004
2025-07-11 14:51:00,503.43,503.3,503.44,503.3,21188,-0.03376566627604216
2025-07-11 14:50:00,503.48,503.39,503.52,503.47,14518,-0.001986176213553126
2025-07-11 14:49:00,503.53,503.38,503.54,503.48,21391,-0.015886885376115156
2025-07-11 14:48:00,503.79,503.53,503.89,503.56,27924,-0.05358950439632304
2025-07-11 14:47:00,504.05,503.82,504.1,503.83,15787,-0.039680177767198455
2025-07-11 14:46:00,504.15,504.03,504.16,504.03,8653,-0.019836153373142817
2025-07-11 14:45:00,504.08,504.08,504.18,504.13,13501,0.013887235646548035
2025-07-11 14:44:00,504.15,503.95,504.15,504.06,19797,-0.009918470175163119
2025-07-11 14:43:00,504.34,504.11,504.37,504.11,15120,-0.04164022842638726
2025-07-11 14:42:00,504.3,504.22,504.35,504.32,16273,-0.001982828703428474
2025-07-11 14:41:00,504.4,504.3,504.47,504.33,20786,-0.013877874702616921
2025-07-11 14:40:00,504.28,504.24,504.45,504.4,32228,0.02776345536033009
2025-07-11 14:39:00,504.36,504.25,504.4,504.26,28504,-0.017844750669182563
2025-07-11 14:38:00,504.48,504.33,504.49,504.35,30730,-0.03171394025885954
2025-07-11 14:37:00,504.51,504.45,504.54,504.51,13478,0.005946717411986491
2025-07-11 14:36:00,504.44,504.44,504.56,504.48,17962,0.007929585282684393
2025-07-11 14:35:00,504.43,504.41,504.54,504.44,19525,0.001982435620395684
2025-07-11 14:34:00,504.35,504.29,504.43,504.43,21759,0.013878975335068766
2025-07-11 14:33:00,504.3,504.3,504.39,504.36,21111,0.021814576103129646
2025-07-11 14:32:00,504.3,504.23,504.38,504.25,10630,-0.013880076142125386
2025-07-11 14:31:00,504.25,504.19,504.32,504.32,20876,0.0059489579408600335
2025-07-11 14:30:00,504.22,504.22,504.35,504.29,16149,0.001983025303409214
2025-07-11 14:29:00,504.26,504.22,504.28,504.28,9857,0.007932730445814329
2025-07-11 14:28:00,504.15,504.14,504.49,504.24,36400,0.017851829812554065
2025-07-11 14:27:00,504.3,504.1,504.33,504.15,9099,-0.03370875634518544
2025-07-11 14:26:00,504.3,504.24,504.36,504.32,13234,0.00793210121361465
2025-07-11 14:25:00,504.3,504.25,504.35,504.28,7342,0.0
2025-07-11 14:24:00,504.22,504.16,504.32,504.28,10937,0.011899567649020781
2025-07-11 14:23:00,504.23,504.16,504.28,504.22,12597,-0.001983221942369884
2025-07-11 14:22:00,504.22,504.22,504.38,504.23,12555,0.005950019833411702
2025-07-11 14:21:00,504.18,504.18,504.3,504.2,12809,-0.007932730445825431
2025-07-11 14:20:00,504.23,504.2,504.3,504.24,8124,-0.00396620790861224
2025-07-11 14:19:00,504.35,504.23,504.43,504.26,28520,-0.01586231510488645
2025-07-11 14:18:00,504.43,504.34,504.47,504.34,7322,-0.011895321173671647
2025-07-11 14:17:00,504.42,504.38,504.45,504.4,7724,-0.003964949843393573
2025-07-11 14:16:00,504.32,504.29,504.46,504.42,15136,0.01387925052047656
2025-07-11 14:15:00,504.36,504.26,504.4,504.35,11633,-0.00991276764471527
2025-07-11 14:14:00,504.48,504.37,504.48,504.4,16749,-0.01387594901580691
2025-07-11 14:13:00,504.58,504.44,504.62,504.47,12139,-0.02180030916800746
2025-07-11 14:12:00,504.4,504.3,504.58,504.58,26452,0.041636100481778904
2025-07-11 14:11:00,504.22,504.15,504.39,504.37,17350,0.031732809741980006
2025-07-11 14:10:00,504.3,504.21,504.42,504.21,16261,-0.02775850104095312
2025-07-11 14:09:00,504.45,504.35,504.45,504.35,14028,-0.017841566886045435
2025-07-11 14:08:00,504.2,504.2,504.5,504.44,24662,0.04363174804649095
2025-07-11 14:07:00,504.06,504.03,504.28,504.22,15041,0.02975777173805927
