date,open,low,high,close,volume,changeClosePercent
2025-05-08 14:18:00,568.54,568.47,568.58,568.52,80802,-0.007914662351726776
2025-05-08 14:17:00,568.56,568.5,568.66,568.565,40747,0.0008794146616253329
2025-05-08 14:16:00,568.56,568.52,568.69,568.56,62741,0.01407261469179577
2025-05-08 14:15:00,568.25,568.22,568.48,568.48,136367,0.03167341193033302
2025-05-08 14:14:00,568.35,568.3,568.43,568.3,51809,0.0017596649597884095
2025-05-08 14:13:00,568.19,568.19,568.4,568.29,88335,0.014079301666614086
2025-05-08 14:12:00,568.27,568.16,568.3339,568.21,43101,0.014081284213118828
2025-05-08 14:11:00,568.33,567.92,568.34,568.13,68544,-0.031672854603992384
2025-05-08 14:10:00,568.21,568.21,568.39,568.31,53785,0.024640512522666747
2025-05-08 14:09:00,568.15,568.07,568.285,568.17,29708,0.010561334952718937
2025-05-08 14:08:00,568.0,568.0,568.169,568.11,71808,0.022888129863729567
2025-05-08 14:07:00,567.83,567.79,567.98,567.98,46522,0.0352249110570968
2025-05-08 14:06:00,567.75,567.655,567.81,567.78,57789,0.001761276573253312
2025-05-08 14:05:00,567.66,567.64,567.7701,567.77,61739,0.02466395363176499
2025-05-08 14:04:00,567.5002,567.47,567.635,567.63,256075,0.022907488986789737
2025-05-08 14:03:00,567.62,567.5,567.785,567.5,153723,-0.028185885917619835
2025-05-08 14:02:00,567.8899,567.65,567.93,567.66,88305,-0.03698029478578224
2025-05-08 14:01:00,567.85,567.69,567.98,567.87,139693,-0.0017785444497819825
2025-05-08 14:00:00,567.67,567.525,567.8801,567.8801,114439,0.026456242660444218
2025-05-08 13:59:00,567.84,567.69,567.84,567.7299,56341,-0.002659644734870348
2025-05-08 13:58:00,567.849,567.63,567.94,567.745,87903,-0.01673006480699124
2025-05-08 13:57:00,568.07,567.84,568.15,567.84,509872,-0.04048796803211019
2025-05-08 13:56:00,568.415,568.07,568.43,568.07,64056,-0.054540976107519956
2025-05-08 13:55:00,568.72,568.37,568.72,568.38,38808,-0.058026058975579886
2025-05-08 13:54:00,568.68,568.519,568.74,568.71,128340,0.005292960064195995
2025-05-08 13:53:00,568.75,568.6799,568.84,568.6799,46916,-0.007050921367290908
2025-05-08 13:52:00,568.67,568.62,568.77,568.72,33566,0.0017759493900371126
2025-05-08 13:51:00,568.57,568.52,568.7099,568.7099,35307,0.022846389250386068
2025-05-08 13:50:00,568.56,568.35,568.59,568.58,59246,0.001741210098815671
2025-05-08 13:49:00,568.53,568.52,568.65,568.5701,41900,0.01759107471088761
2025-05-08 13:48:00,568.38,568.29,568.49,568.4701,43277,0.010573353741150093
2025-05-08 13:47:00,568.24,568.24,568.44,568.41,97400,0.014076328893408707
2025-05-08 13:46:00,568.64,568.33,568.64,568.33,126831,-0.052758384186546436
2025-05-08 13:45:00,568.74,568.59,568.79,568.63,30077,-0.01758303588698107
2025-05-08 13:44:00,568.73,568.6651,568.74,568.73,15581,-0.005274632533924795
2025-05-08 13:43:00,568.69,568.69,568.81,568.76,42763,0.0140676654709182
2025-05-08 13:42:00,568.56,568.46,568.68,568.68,46771,0.019346782278328867
2025-05-08 13:41:00,568.67,568.5202,568.67,568.57,23496,-0.00703469865108719
2025-05-08 13:40:00,568.75,568.579,568.82,568.61,24198,-0.02285754474803392
2025-05-08 13:39:00,568.82,568.6401,568.85,568.74,37581,-0.012323972447048082
2025-05-08 13:38:00,568.6885,568.6885,568.881,568.8101,40715,0.02815440077377218
2025-05-08 13:37:00,568.41,568.41,568.73,568.65,49568,0.036063295481514324
2025-05-08 13:36:00,568.52,568.4,568.595,568.445,85111,-0.007915706520777999
2025-05-08 13:35:00,568.56,568.35,568.6,568.49,101026,-0.01934576151952916
2025-05-08 13:34:00,568.875,568.6,568.875,568.6,139260,-0.05449016540400864
2025-05-08 13:33:00,569.311,568.82,569.311,568.91,69764,-0.06850518180221421
2025-05-08 13:32:00,569.28,569.28,569.37,569.3,31187,0.0035132096683598846
2025-05-08 13:31:00,569.18,569.18,569.3056,569.28,44729,0.017569134544426213
2025-05-08 13:30:00,569.21,569.11,569.22,569.18,44550,-0.003513703443447369
2025-05-08 13:29:00,569.38,569.061,569.38,569.2,29075,-0.0351246926589277
2025-05-08 13:28:00,569.1919,569.1855,569.4,569.4,16776,0.0342583076395897
2025-05-08 13:27:00,569.3299,569.175,569.3299,569.205,20213,-0.0263456016018071
2025-05-08 13:26:00,569.24,569.24,569.38,569.355,46146,0.01493140337625043
2025-05-08 13:25:00,569.5106,569.21,569.5106,569.27,101125,-0.04916161882186909
2025-05-08 13:24:00,569.47,569.47,569.6,569.55,55692,0.01756080428481077
2025-05-08 13:23:00,569.28,569.28,569.505,569.45,48381,0.021077406776393026
2025-05-08 13:22:00,569.0101,569.0101,569.33,569.33,56491,0.05887573704514981
2025-05-08 13:21:00,568.9287,568.9199,569.1201,568.995,43680,0.015415516728300993
